pasta;codigo;relatorio;bytes
ctrc;174;BANCO_DE_DADOS_DO_CTRC;89906
ctrc;231;Cliente;429
cliente;13;INEA E PCT TRANSPORTES EIRELI;324711
cliente;16;INEA E PCT TRANSPORTES EIRELI;8806
cliente;17;017 - PERFORMANCE DOS CTRCS ENTREGUES;19510
cliente;69;INEA E PCT TRANSPORTES EIRELI;12729
cliente;203;CTRCS EMITIDOS MENSAL;4795
caixa;44;FRETE A VISTA NAO LIQUIDADO - EXCEL;474
caixa;201;CTRCS DISPONIVEIS PARA FATURAR 30/90 DIAS;90489
caixa;202;Fornecedor;9773
caixa;240;FATURAS VENCIDAS;33959
caixa;241;codigo_241;199436
tabelas;245;RELACOES DE VEICULOS - EXCEL;13301
tabelas;246;CTRCS EMITIDOS MENSAL;8128
tabelas;247;CTRCS EMITIDOS MENSAL;2926
tabelas;248;RELACAO DE GRUPO DE CLIENTES - EXCEL;3033
