0;INEA E PCT TRANSPORTES EIRELI;CTRCS DISPONIVEIS PARA FATURAR 30/90 DIAS;08/04/2026;06:05
1;CTRC;Emissao;Tipo documento;CPNJ Pagador;Nome Pagador;ABC;Cidade Pagador;UF Pagador;Vendedor;UnidResp;Tipo Cobranca;Transportar;ValorFrete;Tipo Frete;Cod ult ocorrencia;Descricao ult ocorrencia;Data ult ocorrencia;Localizacao atual;Comprovante Escaneado
2;JOI116220-9;08/01/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;344,09;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;13/01/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: LUP6010. ROMANEIO 045846-5. EMISSAO: 13/01/26;NAO
2;JOI116997-1;21/01/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;404,88;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;09/02/26;HDL RJO-EM ENTREGA NA CIDADE DE SAO GONCALO. VEICULO: KQY3I22. ROMANEIO 046137-7. EMISSAO: 09/02/26;NAO
2;JOI117860-1;30/01/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;411,80;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;09/02/26;HDL RJO-EM ENTREGA NA CIDADE DE SAO GONCALO. VEICULO: KQY3I22. ROMANEIO 046137-7. EMISSAO: 09/02/26;NAO
2;JOI118174-2;04/02/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;343,15;CIF;38;CLIENTE RECUSA RECEBER MERCADORIA;25/02/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI118581-1;11/02/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;328,50;CIF;38;CLIENTE RECUSA RECEBER MERCADORIA;25/02/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI118953-1;18/02/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;334,00;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;24/02/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: LTT5E64. ROMANEIO 046286-1. EMISSAO: 24/02/26;NAO
2;JOI118958-1;18/02/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;2713,63;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;04/03/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI118965-4;18/02/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;221,51;CIF;38;CLIENTE RECUSA RECEBER MERCADORIA;25/02/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI118967-1;18/02/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;822,34;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;24/02/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: LSJ5555. ROMANEIO 046280-2. EMISSAO: 24/02/26;NAO
2;JOI118971-9;18/02/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;2183,31;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;26/02/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: LRI3A43. ROMANEIO 046317-5. EMISSAO: 26/02/26;NAO
2;JOI119137-3;20/02/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;1116,15;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;27/02/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: LRI3A43. ROMANEIO 046349-3. EMISSAO: 27/02/26;NAO
2;JOI119146-2;20/02/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;205,08;CIF;38;CLIENTE RECUSA RECEBER MERCADORIA;25/02/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI119154-3;20/02/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;409,10;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;26/02/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: LRI3A43. ROMANEIO 046317-5. EMISSAO: 26/02/26;NAO
2;JOI119743-6;02/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;285,35;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;06/03/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: LRH9E70. ROMANEIO 046427-9. EMISSAO: 06/03/26;NAO
2;JOI119986-2;05/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;217,64;CIF;7;ENDERECO ENTREGA DIFERENTE NF;16/03/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI119989-7;05/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;1623,45;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;12/03/26;HDL RJO-EM ENTREGA NA CIDADE DE DUQUE DE CAXIAS. VEICULO: LSJ5555. ROMANEIO 046483-0. EMISSAO: 12/03/26;NAO
2;JOI120513-7;13/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;349,06;CIF;38;CLIENTE RECUSA RECEBER MERCADORIA;18/03/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KWL9C71. ROMANEIO 046558-5. EMISSAO: 18/03/26;NAO
2;JOI120735-1;19/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;569,32;CIF;84;CHEGADA NA UNIDADE DE DESTINO;02/04/26;MTD CGI-NO ARMAZEM DA FILIAL CAMPOS DOS GOYTACAZES;NAO
2;JOI120747-4;19/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;1172,45;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;26/03/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI120778-4;20/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;489,20;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;01/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KWL9C71. ROMANEIO 046707-3. EMISSAO: 01/04/26;NAO
2;JOI120855-1;23/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;487,85;CIF;85;SAIDA PARA ENTREGA;02/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KPT9D90. ROMANEIO 046735-9. EMISSAO: 02/04/26;NAO
2;JOI120857-8;23/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;439,58;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;06/04/26;HDL RJO-EM ENTREGA NA CIDADE DE SAO GONCALO. VEICULO: KWL9C56. ROMANEIO 046744-8. EMISSAO: 06/04/26;NAO
2;JOI120862-4;23/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;441,07;CIF;35;AGUARDANDO AGENDAMENTO DO CLIENTE;06/04/26;HDS RJO - HDLOGSUL RJ - APONTADO PARA ENTREGA - VEICULO: LTB8G40;NAO
2;JOI120868-3;23/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;245,43;CIF;84;CHEGADA NA UNIDADE DE DESTINO;02/04/26;MTD CGI-NO ARMAZEM DA FILIAL CAMPOS DOS GOYTACAZES;NAO
2;JOI120873-0;23/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;400,60;CIF;15;ENTREGA AGENDADA PELO CLIENTE;07/04/26;HDL RJO-EM ENTREGA NA CIDADE DE MESQUITA. VEICULO: KWL8E73. ROMANEIO 046754-5. EMISSAO: 06/04/26;NAO
2;JOI120876-4;23/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;416,66;CIF;5;MERCADORIA DESACORDO COM PEDIDO/NAO PEDIDO/CANCELA;01/04/26;HDL RJO-EM ENTREGA NA CIDADE DE DUQUE DE CAXIAS. VEICULO: KPT9389. ROMANEIO 046710-3. EMISSAO: 01/04/26;NAO
2;JOI120919-1;24/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;421,28;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;02/04/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI120927-2;24/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;304,82;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;31/03/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KWL9C56. ROMANEIO 046697-2. EMISSAO: 31/03/26;NAO
2;JOI120928-1;24/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;302,01;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;01/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KPT9D90. ROMANEIO 046701-4. EMISSAO: 01/04/26;NAO
2;JOI121028-9;25/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;1757,65;CIF;85;SAIDA PARA ENTREGA;08/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KWL9C71. ROMANEIO 046792-8. EMISSAO: 08/04/26;NAO
2;JOI121033-5;25/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;438,08;CIF;85;SAIDA PARA ENTREGA;07/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: LRH9E70. ROMANEIO 046771-5. EMISSAO: 07/04/26;NAO
2;JOI121036-0;25/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;511,64;CIF;66;CLIENTE INFORMA EXPEDICAO DE NOVA MERCADORIA;07/04/26;HDL RJO-Subcontrato autorizado com 12 volumes e 187 Kg. Destino: RJ/COMENDADOR LEVY GASPARIAN. Previsao de entrega: 08/04/26;NAO
2;JOI121047-5;25/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;329,17;CIF;15;ENTREGA AGENDADA PELO CLIENTE;31/03/26;HDL RJO-Subcontrato autorizado com 1 volume e 5 Kg. Destino: RJ/MESQUITA. Previsao de entrega: 31/03/26;NAO
2;JOI121050-5;25/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;388,45;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;01/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KWL9C71. ROMANEIO 046707-3. EMISSAO: 01/04/26;NAO
2;JOI121059-9;25/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;411,88;CIF;15;ENTREGA AGENDADA PELO CLIENTE;30/03/26;HDL RJO-Subcontrato autorizado com 4 volumes e 54 Kg. Destino: RJ/RIO DE JANEIRO. Previsao de entrega: 31/03/26;NAO
2;JOI121070-0;25/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;235,77;CIF;84;CHEGADA NA UNIDADE DE DESTINO;30/03/26;HDS RJO - HDLOGSUL RJ - APONTADO PARA ENTREGA - VEICULO: RKY5F13;NAO
2;JOI121073-4;25/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;450,99;CIF;85;SAIDA PARA ENTREGA;08/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KPT9D90. ROMANEIO 046787-1. EMISSAO: 08/04/26;NAO
2;JOI121098-0;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;1396,28;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;02/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KWL9C61. ROMANEIO 046737-5. EMISSAO: 02/04/26;NAO
2;JOI121099-8;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;2234,30;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;07/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KPT4I23. ROMANEIO 046766-9. EMISSAO: 07/04/26;NAO
2;JOI121100-5;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;202,19;CIF;85;SAIDA PARA ENTREGA;08/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KQS8381. ROMANEIO 046789-8. EMISSAO: 08/04/26;NAO
2;JOI121104-8;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;411,02;CIF;85;SAIDA PARA ENTREGA;08/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KPT9D90. ROMANEIO 046787-1. EMISSAO: 08/04/26;NAO
2;JOI121110-2;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;216,97;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;MTD DQX-Subcontrato emitido com 1 volume e 11 Kg. Destino: RJ/SANTO ANTONIO DE PADUA. Previsao de entrega: 13/04/26;NAO
2;JOI121112-9;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;216,23;CIF;85;SAIDA PARA ENTREGA;08/04/26;HDL RJO-EM ENTREGA NA CIDADE DE PORTO REAL. VEICULO: KWL9C72. ROMANEIO 046793-6. EMISSAO: 08/04/26;NAO
2;JOI121114-5;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;220,17;CIF;85;SAIDA PARA ENTREGA;08/04/26;HDL RJO-EM ENTREGA NA CIDADE DE BARRA MANSA. VEICULO: KWL9C72. ROMANEIO 046793-6. EMISSAO: 08/04/26;NAO
2;JOI121117-0;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;216,69;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;MTD DQX-Subcontrato emitido com 4 volumes e 18 Kg. Destino: RJ/CAMPOS DOS GOYTACAZES. Previsao de entrega: 07/04/26;NAO
2;JOI121118-8;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;217,78;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;HDL RJO-Subcontrato autorizado com 3 volumes e 16 Kg. Destino: RJ/VOLTA REDONDA. Previsao de entrega: 07/04/26;NAO
2;JOI121119-6;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;216,35;CIF;85;SAIDA PARA ENTREGA;07/04/26;HDS RJO - EM ENTREGA;NAO
