NumLancto;UnidPagadora;Fornecedor;Evento;ValorParcela;DataVencimento;DataPagamento;DataConciliacao
4707;JOI;ESTADO - TRIBUTOS;INSS;156,49;20/04/26;20/04/26;        
4847;JOI;ESTADO - TRIBUTOS;INSS;170,17;20/04/26;20/04/26;        
5240;JOI;ESTADO - TRIBUTOS;INSS;139,56;20/04/26;20/04/26;        
12429;JOI;BALLATKA SERVICOS DE TRANSPORTES;FRETE TRANSFERENCIA DE VEICULOS TERCEIROS;4750,00;02/04/26;02/04/26;        
12429;JOI;BALLATKA SERVICOS DE TRANSPORTES;FRETE TRANSFERENCIA DE VEICULOS TERCEIROS;4750,00;02/04/26;01/04/26;01/04/26
12430;JOI;BALLATKA SERVICOS DE TRANSPORTES;PEDAGIOS;540,56;02/04/26;01/04/26;01/04/26
12431;JOI;JAISON TOMASI;FRETE TRANSFERENCIA DE VEICULOS TERCEIROS;4750,00;02/04/26;01/04/26;01/04/26
12431;JOI;JAISON TOMASI;FRETE TRANSFERENCIA DE VEICULOS TERCEIROS;4493,50;02/04/26;02/04/26;        
12432;JOI;JAISON TOMASI;PEDAGIOS;540,56;02/04/26;01/04/26;01/04/26
12457;JOI;RONIVALDO DA SILVA AMARAL;FRETE TRANSFERENCIA DE VEICULOS TERCEIROS;3730,00;09/04/26;09/04/26;        
12457;JOI;RONIVALDO DA SILVA AMARAL;FRETE TRANSFERENCIA DE VEICULOS TERCEIROS;6000,00;07/04/26;06/04/26;06/04/26
12458;JOI;RONIVALDO DA SILVA AMARAL;PEDAGIOS;501,60;07/04/26;06/04/26;06/04/26
12471;JOI;RONIVALDO DA SILVA AMARAL;FRETE TRANSFERENCIA DE VEICULOS TERCEIROS;2685,60;08/04/26;08/04/26;        
12471;JOI;RONIVALDO DA SILVA AMARAL;FRETE TRANSFERENCIA DE VEICULOS TERCEIROS;4320,00;08/04/26;07/04/26;07/04/26
12472;JOI;RONIVALDO DA SILVA AMARAL;PEDAGIOS;320,00;08/04/26;07/04/26;07/04/26
6419;MTZ;ESTADO - TRIBUTOS;DESP. GUIAS DE RECOHIMENTO;183,06;30/04/26;30/04/26;        
6420;MTZ;ESTADO - TRIBUTOS;DESP. GUIAS DE RECOHIMENTO;184,90;30/04/26;30/04/26;        
6421;MTZ;ESTADO - TRIBUTOS;DESP. GUIAS DE RECOHIMENTO;238,46;30/04/26;30/04/26;        
6429;MTZ;ESTADO - TRIBUTOS;INSS;500,10;30/04/26;30/04/26;        
6815;MTZ;ESTADO - TRIBUTOS;INSS;530,65;29/04/26;29/04/26;        
8198;MTZ;ESTADO - TRIBUTOS;CSLL;310,85;29/04/26;29/04/26;        
8199;MTZ;ESTADO - TRIBUTOS;PIS;181,68;29/04/26;29/04/26;        
8210;MTZ;ESTADO - TRIBUTOS;IR;427,81;29/04/26;29/04/26;        
8211;MTZ;ESTADO - TRIBUTOS;COFINS;838,63;29/04/26;29/04/26;        
8282;MTZ;ESTADO - TRIBUTOS;OUTROS IMPOSTOS E TAXAS DIVERSAS;1372,95;30/04/26;30/04/26;        
9953;MTZ;ESTADO - TRIBUTOS;PARCELAMENTO - REFIS;1228,49;30/04/26;30/04/26;        
10890;MTZ;ESTADO - TRIBUTOS;PARCELAMENTO - REFIS;3413,97;30/04/26;30/04/26;        
11007;MTZ;PORTO SEGURO COMPANHIA DE SEGUROS GERAIS;SEGURO DE VEICULOS;987,49;20/04/26;20/04/26;        
11403;MTZ;BREITKOPF CAMINHOES LTDA;PARCELA DE FINANCIAMENTO OU CONSORCIO DE VEICULO;8756,19;17/04/26;17/04/26;        
11413;MTZ;BANCO DO BRASIL;EMPRESTIMOS;9259,26;09/04/26;09/04/26;        
11434;MTZ;BANCO DO BRASIL;EMPRESTIMOS;6930,05;04/04/26;06/04/26;        
11662;MTZ;MARCIO BATERIAS LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;159,80;08/04/26;08/04/26;        
11922;MTZ;PREFEITURA MUNICIPAL DE JOINVILLE;IPTU;166,04;10/04/26;10/04/26;        
11956;MTZ;COMERCIAL BONESSI LTDA;ALUGUEL DO IMOVEL;9100,00;01/04/26;01/04/26;        
12027;MTZ;COMERCIAL AUTOMOTIVA S.A.;MANUTENCAO E CONSERVACAO DE VEICULOS;294,08;16/04/26;16/04/26;        
12036;MTZ;GOL TRANSPORTES AEREOS;VIAGENS ADMINSTRATIVAS E COMERCIAIS;410,76;25/04/26;27/04/26;        
12048;MTZ;DICAVE GARTNER DIST. CAT. DE VEICULOS LTDA;PARCELA DE FINANCIAMENTO OU CONSORCIO DE VEICULO;12953,54;14/04/26;14/04/26;        
12049;MTZ;FURGOES JOINVILLE INDUSTRIA, COMERCIO E SERVICOS LTDA;PARCELA DE FINANCIAMENTO OU CONSORCIO DE VEICULO;2810,00;14/04/26;14/04/26;        
12058;MTZ;MORAES E SEAT CORRETORA DE SEGUROS;SEGURO DE VEICULOS;2061,08;30/04/26;30/04/26;        
12059;MTZ;MORAES E SEAT CORRETORA DE SEGUROS;SEGURO DE VEICULOS;900,30;30/04/26;30/04/26;        
12060;MTZ;MORAES E SEAT CORRETORA DE SEGUROS;SEGURO DE VEICULOS;1004,93;30/04/26;30/04/26;        
12061;MTZ;MORAES E SEAT CORRETORA DE SEGUROS;SEGURO DE VEICULOS;2924,06;30/04/26;30/04/26;        
12062;MTZ;MORAES E SEAT CORRETORA DE SEGUROS;SEGURO DE VEICULOS;640,69;30/04/26;30/04/26;        
12074;MTZ;DIVERSOS;DESPESAS ADMINISTRATIVAS DIVERSAS;600,00;01/04/26;01/04/26;        
12129;MTZ;COMERCIAL AUTOMOTIVA S.A.;MANUTENCAO E CONSERVACAO DE VEICULOS;2048,53;28/04/26;28/04/26;        
12181;MTZ;COMERCIAL AUTOMOTIVA S.A.;MANUTENCAO E CONSERVACAO DE VEICULOS;862,19;09/04/26;09/04/26;        
12261;MTZ;FGV JR. EBAPE E EPGE;ASSESSORIA EMPRESARIAL;2107,27;25/04/26;27/04/26;        
12264;MTZ;2790 MATERIAL DE CONSTRUCAO - EIRELI - ME;MANUTENCAO E CONSERVACAO DO IMOVEL;410,54;25/04/26;27/04/26;        
12265;MTZ;GOL TRANSPORTES AEREOS;VIAGENS ADMINSTRATIVAS E COMERCIAIS;410,78;25/04/26;27/04/26;        
12269;MTZ;DIVERSOS;MANUTENCAO E CONSERVACAO DO IMOVEL;2950,00;02/04/26;02/04/26;        
12274;MTZ;OFICINA MECANICA CONCEICAO LTD;MANUTENCAO E CONSERVACAO DE VEICULOS;1308,75;14/04/26;14/04/26;        
12308;MTZ;DESPACHANTE BEIRA RIO LTDA-ME;DESPACHANTE;886,00;10/04/26;10/04/26;        
12361;MTZ;ELETRICA 47 MANUTENCOES E COMERCIO DE PECAS LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;351,00;13/04/26;13/04/26;        
12362;MTZ;ELETRICA 47 MANUTENCOES E COMERCIO DE PECAS LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;628,00;14/04/26;14/04/26;        
12365;MTZ;E E D TRANSP CONSTRUTORA E INCORPORADORA LTDA;FRETE COLETA/ENTREGA DE VEICULOS TERCEIROS;7875,21;05/04/26;06/04/26;        
12373;MTZ;FL COMERCIO DE LUBRIFICANTES E PECAS EIRELI - ME;MANUTENCAO E CONSERVACAO DE VEICULOS;566,95;17/04/26;17/04/26;        
12374;MTZ;WEBCIS DESENVOLVIMENTO DE SITE;SOFTWARES;119,90;12/04/26;13/04/26;        
12385;MTZ;ENGRERIO PECAS;COMBUSTIVEIS E LUBRIFICANTES;180,00;16/04/26;16/04/26;        
12399;MTZ;BRASIL SUL SERVICO DE SEGURANCA LTDA;VIGILANCIA E SEGURANCA;480,00;05/04/26;06/04/26;        
12402;MTZ;WEBCIS DESENVOLVIMENTO DE SITE;SOFTWARES;119,90;13/04/26;13/04/26;        
12404;MTZ;HD LOG TRANSPORTES LTDA - ME;FRETE COLETA/ENTREGA DE VEICULOS TERCEIROS;917,75;30/04/26;30/04/26;        
12408;MTZ;POSTO Z5 LTDA.;COMBUSTIVEIS E LUBRIFICANTES;812,20;06/04/26;06/04/26;        
12433;MTZ;COMERCIAL BONESSI LTDA;ALUGUEL DO IMOVEL;9100,00;01/04/26;02/04/26;        
12434;MTZ;DOCOL INDUSTRIA E COMERCIO LTDA;INDENIZACAO DE MERCADORIAS;633,60;01/04/26;01/04/26;        
12435;MTZ;ELETRICA 47 MANUTENCOES E COMERCIO DE PECAS LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;290,00;29/04/26;29/04/26;        
12436;MTZ;ELETRICA 47 MANUTENCOES E COMERCIO DE PECAS LTDA;MANUTENCAO E CONSERVACAO DE VEICULOS;575,00;28/04/26;28/04/26;        
12437;MTZ;ALEXSSANDRO ELIAS EPP;MANUTENCAO E CONSERVACAO DE VEICULOS;302,00;17/04/26;17/04/26;        
12438;MTZ;FANEZZE COM DE EMBALAGENS E PROD PANIF LTDA;MATERIAL DE ESCRITORIO;583,47;08/04/26;08/04/26;        
12440;MTZ;E E D TRANSP CONSTRUTORA E INCORPORADORA LTDA;FRETE COLETA/ENTREGA DE VEICULOS TERCEIROS;19475,01;25/04/26;27/04/26;        
12441;MTZ;ROADCARD SOLUCOES INTEGRADAS E;PEDAGIOS;7,40;10/04/26;10/04/26;        
12442;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;191,54;10/04/26;10/04/26;        
12443;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;293,12;10/04/26;10/04/26;        
12444;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;327,76;10/04/26;10/04/26;        
12445;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;2187,00;10/04/26;10/04/26;        
12446;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;356,48;10/04/26;10/04/26;        
12447;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;360,78;10/04/26;10/04/26;        
12448;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;254,93;10/04/26;10/04/26;        
12449;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;246,33;10/04/26;10/04/26;        
12450;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;221,91;10/04/26;10/04/26;        
12451;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;323,46;10/04/26;10/04/26;        
12452;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;314,34;10/04/26;10/04/26;        
12453;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;284,97;10/04/26;10/04/26;        
12454;MTZ;POSTO DE GASOLINA BRASIL DE SANTA CRUZ LTDA;COMBUSTIVEIS E LUBRIFICANTES;127,14;10/04/26;10/04/26;        
12455;MTZ;MAST SERVICOS DE ESCRITORIO;ASSESSORIA EMPRESARIAL;4216,00;06/04/26;06/04/26;        
12456;MTZ;PERFORMANCELAB SISTEMAS ELETRONICOS LTDA;SOFTWARES;845,90;10/04/26;10/04/26;        
12459;MTZ;POSTO Z5 LTDA.;COMBUSTIVEIS E LUBRIFICANTES;3240,69;06/04/26;06/04/26;        
12460;MTZ;POSTO Z5 LTDA.;COMBUSTIVEIS E LUBRIFICANTES;35,74;06/04/26;06/04/26;        
12461;MTZ;POSTO Z5 LTDA.;COMBUSTIVEIS E LUBRIFICANTES;733,97;06/04/26;06/04/26;        
12462;MTZ;POSTO Z5 LTDA.;COMBUSTIVEIS E LUBRIFICANTES;3408,18;06/04/26;06/04/26;        
12463;MTZ;POSTO Z5 LTDA.;COMBUSTIVEIS E LUBRIFICANTES;666,58;06/04/26;06/04/26;        
12464;MTZ;POSTO Z5 LTDA.;COMBUSTIVEIS E LUBRIFICANTES;509,73;06/04/26;06/04/26;        
12465;MTZ;POSTO Z5 LTDA.;COMBUSTIVEIS E LUBRIFICANTES;295,55;06/04/26;06/04/26;        
12466;MTZ;MTD TRANSPORTES LTDA;FRETE COLETA/ENTREGA DE VEICULOS TERCEIROS;992,58;20/04/26;20/04/26;        
12467;MTZ;PALUANA TECNOLOGIA LTDA;GERENCIAMENTO DE RISCO;1698,07;10/04/26;10/04/26;        
12468;MTZ;FANEZZE COM DE EMBALAGENS E PROD PANIF LTDA;MATERIAL DE ESCRITORIO;566,74;07/04/26;07/04/26;        
12469;MTZ;JCM NITEROI REFRIGERACAO LTDA;MATERIAL DE ESCRITORIO;1868,05;07/04/26;07/04/26;        
12470;MTZ;MTD TRANSPORTES LTDA;FRETE COLETA/ENTREGA DE VEICULOS TERCEIROS;2120,43;07/04/26;07/04/26;        
