0;INEA E PCT TRANSPORTES EIRELI;FATURAS VENCIDAS;08/04/2026;12:59
1;Fatura;Emissao;CNPJ pagador;Nome pagador;ClienteABC;Cidade pagador;UF pagador;UnidResp;Vendedor;Banco;Valor;Vencimento;DiasAtraso;Saldo
2;0003442-8;03/04/23;11040609000291;HDLOG TRANSPORTES;".2";SERRA;ES;ESO;;CARTEIRA;158,82;17/04/23;1087;158,82
2;0003713-3;03/07/23;11040609000291;HDLOG TRANSPORTES;".2";SERRA;ES;ESO;;CARTEIRA;350,00;17/07/23;996;350,00
2;0002595-0;20/06/22;81826166000163;COPLASA DO BRASIL INDUSTRIA;"C2";CORUPA;SC;JOI;alexsand;BANCO ITAU S.A.;687,44;30/06/22;1378;687,44
2;0006247-2;23/02/26;06913480002616;DIMENSIONAL BRASIL SOLUCOES LT;"C2";GARUVA;SC;JOI;alexsand;CARTEIRA;15272,38;25/03/26;14;15272,38
2;0006156-5;21/01/26;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;36260,62;18/02/26;49;3482,20
2;0005275-2;01/02/25;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;136578,39;28/02/25;404;99,52
2;0006179-4;01/02/26;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;65353,13;28/02/26;39;13926,39
2;0006219-7;11/02/26;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;26701,37;08/03/26;31;3492,58
2;0006239-1;21/02/26;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;41221,77;18/03/26;21;353,41
2;0004560-8;01/05/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;866,25;28/05/24;680;79,88
2;0004586-1;11/05/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;53285,15;08/06/24;669;307,36
2;0004617-5;21/05/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;1072,61;18/06/24;659;873,62
2;0001707-8;11/06/21;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;629,17;08/07/21;1735;629,17
2;0004686-8;11/06/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;2211,41;08/07/24;639;90,18
2;0004708-2;21/06/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;67958,67;18/07/24;629;3803,10
2;0004772-4;11/07/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;3789,47;28/07/24;619;1185,43
2;0004731-7;01/07/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;1732,85;28/07/24;619;1023,99
2;0004819-4;22/07/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;1710,60;18/08/24;598;1625,22
2;0001832-5;02/08/21;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;14020,81;28/08/21;1684;240,44
2;0001934-8;21/09/21;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;327,85;18/10/21;1633;89,31
2;0002974-2;21/10/22;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;467,94;18/11/22;1237;61,36
2;0004005-3;21/10/23;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;334,67;18/11/23;872;117,17
2;0005031-8;21/10/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;55284,79;18/11/24;506;180,69
2;0002023-1;01/11/21;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;378,22;28/11/21;1592;298,30
2;0005065-2;01/11/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;100406,62;28/11/24;496;773,00
2;0003028-7;11/11/22;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;814,68;08/12/22;1217;136,05
2;0005081-4;11/11/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;60530,99;08/12/24;486;431,59
2;0003053-8;21/11/22;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;359,15;18/12/22;1207;142,29
2;0005115-2;21/11/24;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;39561,79;18/12/24;476;275,91
2;0003086-4;01/12/22;75339051000141;DOCOL INDUSTRIA E COMERCIO LTD;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;281,27;28/12/22;1197;61,36
