0;HDS;INEA E PCT TRANSPORTES EIRELI;CTRCS ATRASADOS DE ENTREGA - EXCEL;08/04/2026;14:23
1;FILIAL;CTRC;AUTORIZACAO;TIPO DOCUMENTO;NF;CNPJ REMETENTE;REMETENTE;CNPJ PAGADOR;PAGADOR;CNPJ DESTINATARIO;DESTINATARIO;UF DESTINO;CIDADE DESTINO;ENTREGA AGENDADA;PREVISAO ENTREGA;ATRASO;UNIDADE ORIGEM;UNIDADE DESTINO;UNIDADE ATUAL;LOCALIZACAO ATUAL;COD ULTIMA OCORRENCIA;INSTRUCAO/COMPLEMENTO ULTIMA OCORRENCIA;DATA ULTIMA OCORRENCIA;RESPONSABILIDADE CLIENTE;VAL MERC;FRETE;QTD VOLUMES;PESO;M3;
2;JOI;RJO003732-0;26/03/2026;DEVOLUCAO;   559668;05953543000147;06.01 L.L.E ..;75339051000141;DOCOL INDUSTRIA A2;75339051000141;DOCOL INDUS A2;SC;JOINVILLE;          ;01/04/26;  7;RJO;JOI;JOI;;50;FERNANDO REALIZNDO BUSCA NOS GALPOES RJ;07/04/2026;NAO;    20.012,03;       425,16;17;       112;         1;
2;JOI;RJO003691-9;10/03/2026;DEVOLUCAO;   869926;55647018000252;COLLINE RES ..;06913480002616;DIMENSIONAL BRA C2;06913480002616;DIMENSIONAL C2;SC;GARUVA;          ;18/03/26; 21;RJO;JOI;RJO;;80;CT-e autorizado com 2 volumes e 6 Kg. Destino: SC/GARUVA. Previsao de entrega: 18/03/26;10/03/2026;NAO;     1.165,41;       191,28;2;         6;         0;
2;JOI;RJO003708-7;18/03/2026;DEVOLUCAO;   873460;01178298000510;FAURECIA AU ..;06913480002616;DIMENSIONAL BRA C2;06913480002616;DIMENSIONAL C2;SC;GARUVA;          ;24/03/26; 15;RJO;JOI;RJO;;80;CT-e autorizado com 18 volumes e 292 Kg. Destino: SC/GARUVA. Previsao de entrega: 24/03/26;18/03/2026;NAO;    15.625,80;       754,55;18;       292;         0;
2;JOI;RJO003722-2;24/03/2026;DEVOLUCAO;     1063;31685548000146;TECIDOS HER ..;75409201000146;TECELAGEM NORTE C.;75409201000146;TECELAGEM N C.;SC;JOINVILLE;          ;01/04/26;  7;RJO;JOI;JOI;;80;CT-e autorizado com 15 volumes e 77 Kg. Destino: SC/JOINVILLE. Previsao de entrega: 01/04/26;24/03/2026;NAO;     6.117,98;       121,73;15;        77;         0;
2;JOI;RJO003743-5;31/03/2026;DEVOLUCAO;    16647;23476033000884;BMB MATERIA ..;75339051001385;DOCOL INDUSTRIA A2;75339051001385;DOCOL INDUS A2;SC;JOINVILLE;          ;07/04/26;  1;RJO;JOI;RJO;;80;CT-e autorizado com 1 volume e 8 Kg. Destino: SC/JOINVILLE. Previsao de entrega: 07/04/26;31/03/2026;NAO;       662,59;        87,23;1;         8;         0;
2;JOI;RJO003646-3;06/02/2026;DEVOLUCAO;   843007;10324624000118;CONCESSAO M ..;06913480002616;DIMENSIONAL BRA C2;06913480002616;DIMENSIONAL C2;SC;GARUVA;          ;12/02/26; 55;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 17/02/26, 14:53h.;17/02/2026;NAO;     2.007,50;       125,02;3;        13;         0;
2;JOI;RJO003679-0;02/03/2026;DEVOLUCAO;      627;33829264000101;S. S. SOUZA ..;13890656000179;CLAW COML IMPOR B.;13890656000179;CLAW COML I B.;SC;JARAGUA DO SUL;          ;06/03/26; 33;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 06/03/26, 17:13h.;06/03/2026;NAO;     3.084,49;       219,14;6;        47;         0;
2;JOI;RJO003681-1;03/03/2026;DEVOLUCAO;  1055161;08274836000196;ILUMINACAO  ..;08890838000452;LPS DISTR DE MA B.;08890838000452;LPS DISTR D B.;SC;JOINVILLE;          ;12/03/26; 27;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 06/03/26, 17:13h.;06/03/2026;NAO;     5.454,26;       170,59;5;         7;         0;
2;JOI;RJO003695-1;13/03/2026;DEVOLUCAO;   576724;23476033001694;BMB MATERIA ..;75339051000141;DOCOL INDUSTRIA A2;75339051000141;DOCOL INDUS A2;SC;JOINVILLE;          ;19/03/26; 20;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;     1.209,35;       129,22;2;        14;         0;
2;JOI;RJO003699-4;13/03/2026;DEVOLUCAO;     3094;34073544000103;BAZAR CINFA ..;58514928002037;MEXICHEM BRASIL A1;58514928002037;MEXICHEM BR A1;SC;JOINVILLE;          ;19/03/26; 20;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;       902,28;       185,24;1;         4;         0;
2;JOI;RJO003702-8;16/03/2026;DEVOLUCAO;   570341;05879152001282;04.05 BOTTI ..;75339051000141;DOCOL INDUSTRIA A2;75339051000141;DOCOL INDUS A2;SC;JOINVILLE;          ;20/03/26; 19;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;     1.845,49;        95,28;1;         3;         0;
2;JOI;RJO003703-6;17/03/2026;DEVOLUCAO;   866550;05635291001260;BAKER HUGHE ..;06913480002616;DIMENSIONAL BRA C2;06913480002616;DIMENSIONAL C2;SC;GARUVA;          ;23/03/26; 16;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 02/04/26, 16:19h.;02/04/2026;NAO;       161,34;       120,82;1;         0;         0;
2;JOI;RJO003705-2;17/03/2026;DEVOLUCAO;     2132;34912423000108;BERGAMO IND ..;06913480002616;DIMENSIONAL BRA C2;06913480002616;DIMENSIONAL C2;SC;GARUVA;          ;23/03/26; 16;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;       300,00;       121,14;1;         3;         0;
2;JOI;RJO003693-5;12/03/2026;DEVOLUCAO;   302818;37829594000158;BEC COMERCI ..;75339051000141;DOCOL INDUSTRIA A2;75339051000141;DOCOL INDUS A2;SC;JOINVILLE;          ;24/03/26; 15;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 02/04/26, 16:19h.;02/04/2026;NAO;    18.548,70;       315,44;2;        38;         0;
2;JOI;RJO003710-9;18/03/2026;DEVOLUCAO;   576744;11335987000111;PLANETA DOS ..;75339051000141;DOCOL INDUSTRIA A2;75339051000141;DOCOL INDUS A2;SC;JOINVILLE;          ;24/03/26; 15;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;       558,90;        86,52;1;         2;         0;
2;JOI;RJO003706-1;17/03/2026;DEVOLUCAO;        2;43631188000189;WGF ENGENHA C.;43631188000189;WGF ENGENHARIA  C.;79383899000129;POLUX INDUS ..;SC;JARAGUA DO SUL;          ;25/03/26; 14;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;     3.304,62;       323,90;1;        85;         0;
2;JOI;RJO003713-3;19/03/2026;DEVOLUCAO;   588422;02890979000146;KIAN IMPORT ..;75339051000141;DOCOL INDUSTRIA A2;75339051000141;DOCOL INDUS A2;SC;JOINVILLE;          ;25/03/26; 14;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;     8.290,29;       208,05;6;        64;         0;
2;JOI;RJO003714-1;19/03/2026;DEVOLUCAO;    11615;42315132000152;VILA MAIS M ..;13890656000179;CLAW COML IMPOR B.;13890656000179;CLAW COML I B.;SC;JARAGUA DO SUL;          ;25/03/26; 14;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;     6.738,60;       300,33;14;        42;         0;
2;JOI;RJO003716-8;20/03/2026;DEVOLUCAO;   576723;23476033001775;BMB MATERIA ..;75339051000141;DOCOL INDUSTRIA A2;75339051000141;DOCOL INDUS A2;SC;JOINVILLE;          ;26/03/26; 13;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;     2.272,88;        99,10;3;         7;         0;
2;JOI;RJO003724-9;24/03/2026;DEVOLUCAO;   579285;05879152000715;04.01 BOTTI ..;75339051000141;DOCOL INDUSTRIA A2;75339051000141;DOCOL INDUS A2;SC;JOINVILLE;          ;30/03/26;  9;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 02/04/26, 16:19h.;02/04/2026;NAO;     2.304,31;       110,77;1;         4;         0;
2;JOI;RJO003725-7;24/03/2026;DEVOLUCAO;    13471;07189072000178;OURO FINO C ..;75339051000141;DOCOL INDUSTRIA A2;75339051000141;DOCOL INDUS A2;SC;JOINVILLE;          ;01/04/26;  7;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 02/04/26, 16:19h.;02/04/2026;NAO;       230,98;       109,75;1;         3;         0;
