0;INEA E PCT TRANSPORTES EIRELI;CTRCS EMITIDOS MENSAL;08/04/2026;06:05
1;Cliente;CNPJ;ClienteABC;Cidade Cliente;UF Cliente;Vendedor;UnidOrigem;UnidDestino;ValorMercadoria;QtdeCTRC;QtdeVolume;M3;PesoReal;PesoCalc;ValorFrete
2;06.02 L.L.E. FERRAGENS LTDA;05953543000228�;"";DUQUE DE CAXIAS;RJ;;RJO;JOI;49266,00;1;5;0,00;886,68;886,68;1549,80
2;BRAFT DO BRASIL IMPORTACAO E E;58587080000294�;"B";ITAJAI;SC;alexsand;JOI;ESO;3704,20;1;12;0,00;43,29;43,29;287,47
2;CG FABRICA DE ARTEFATOS PLASTI;28709167000145�;"C";ARAQUARI;SC;;JOI;RJO;2547,30;1;10;0,00;46,35;46,35;210,46
2;DIMENSIONAL BRASIL SOLUCOES LT;06913480002616�;"C2";GARUVA;SC;alexsand;RJO;JOI;141,12;1;1;0,00;0,18;0,18;188,95
2;GATE 72 COMERCIAL IMPORTADORA;19731267000187�;"C2";ARAQUARI;SC;ario    ;JOI;ESO;34888,33;1;74;0,00;1285,70;1285,70;3820,36
2;IC INDUSTRIA E COMERCIO DE MOL;02122738000157�;"";JOINVILLE;SC;;JOI;ESO;17375,57;1;13;0,00;104,88;104,88;279,04
2;LPS DISTR DE MATERIAIS ELETRIC;08890838000452�;"B";JOINVILLE;SC;alexsand;RJO;JOI;3267,88;1;5;0,00;71,72;71,72;274,11
2;MASSTER PLASTICOS LTDA.;03011796000176�;"B2";ARAQUARI;SC;ario    ;JOI;ESO;6633,22;1;20;0,00;171,82;171,82;391,15
2;MEXICHEM BRASIL INDUSTRIA DE T;58514928002037�;"A1";JOINVILLE;SC;alexsand;RJO;JOI;426,50;1;1;0,00;21,52;21,52;225,97
2;MEXICHEM BRASIL INDUSTRIA DE T;58514928002037�;"A1";JOINVILLE;SC;alexsand;RJO;RJO;19294,50;1;96;0,00;474,60;474,60;0,01
2;PLASBOHN IND DE PLASTICOS LTDA;82183716000136�;"2";JOINVILLE;SC;alexsand;JOI;ESO;2032,27;1;12;0,42;77,31;105,00;226,02
2;TOP BARTENDER EVENTOS LTDA;13107587000184�;"";RIO DE JANEIRO;RJ;;JOI;RJO;5748,33;1;21;0,00;178,50;178,50;247,45
2;VAESO COMERCIAL LTDA;58092341000114�;"C";JOINVILLE;SC;;JOI;ESO;9047,72;1;91;0,00;262,00;262,00;736,86
2;IC INDUSTRIA E COMERCIO DE MOL;02122738000157�;"";JOINVILLE;SC;;JOI;RJO;56452,21;2;23;0,00;477,96;477,96;492,94
2;MELFI IMP E COM FERRAMENTAS EI;11894188000266�;"B2";ITAJAI;SC;alexsand;JOI;RJO;14410,54;2;33;0,00;421,65;421,65;904,37
2;MEPLAS INDUSTRIAL LTDA;42250515000190�;"";JARAGUA DO SUL;SC;;JOI;ESO;27127,28;2;72;7,46;560,16;1865,00;1814,12
2;MEPLAS INDUSTRIAL LTDA;42250515000190�;"";JARAGUA DO SUL;SC;;JOI;RJO;2467,00;2;40;0,76;89,60;190,00;306,00
2;MITON FABRICA DE ARTEFATOS PLA;19164523000100�;"C";ARAQUARI;SC;ario    ;JOI;ESO;6668,41;2;28;0,00;74,34;74,34;772,71
2;SINTEX INDUSTRIAL DE PLASTICOS;75344937000183�;"C2";JOINVILLE;SC;alexsand;JOI;RJO;8850,75;2;11;0,00;90,53;90,53;361,14
2;SOCELPLAST IND DE PLAST LTDA;03485170000100�;"C2";JOINVILLE;SC;alexsand;JOI;RJO;12152,30;2;51;0,00;250,23;250,23;744,67
2;TECELAGEM NORTE CATARINENSE;75409201000146�;"C";JOINVILLE;SC;ario    ;JOI;RJO;8696,27;2;17;0,00;140,87;140,87;247,06
2;BRAFT DO BRASIL IMPORTACAO E E;58587080000294�;"B";ITAJAI;SC;alexsand;JOI;RJO;16380,96;3;42;0,00;269,08;269,08;1388,50
2;COPLASA DO BRASIL INDUSTRIA;81826166000163�;"C2";CORUPA;SC;alexsand;JOI;RJO;4884,75;3;17;0,00;80,32;80,32;795,33
2;PENINSULA IMPORTACAO E EXPORTA;20231436000107�;"C2";JOINVILLE;SC;ario    ;JOI;RJO;7327,02;3;9;0,00;55,47;55,47;357,64
