0;INEA E PCT TRANSPORTES EIRELI ;BANCO_DE_DADOS_DO_CTRC;08/04/26
1; sigla_ctrc; numero_ctrc; sigla_cte; numero_cte; ctrc/subcontr; nro_chave_acesso_cte; situacao_ctrc; data_emissao; hora_emissao; serie_nf; numero_nf; demais_nf; prev_ent; fil_dest; praca_destino; cidade_destino; uf_destino; qtde_volume; tipo_mercadoria; veiculo_coleta; veiculo_entrega; cubagem; cubagem_original; peso_real; peso_real_original; kg_calculo; valor_n_fiscal; tipo_frete; sit_liquidacao; numero_controle; usu_inc; remetente_nome; remetente_cnpj; remetente_inscr; remet_endereco; remet_cep; remet_cidade; remet_uf; remet_data_inc; destinatario_nome; dest_cnpj; dest_inscr; dest_endereco; dest_cep; dest_cidade; dest_uf; dest_data_inc; pagador_nome; pag_cnpj; unid_resp_pagador; observ1; observ2; entrega/redesp_nome; entr_endereco; entr_cep; entr_cidade; entr_uf; ult_ocorr_local; ult_ocorr_data; ult_ocorr_hora; ult_ocorr_codigo; ult_ocorr_descricao; ult_instr; tabela_calculo; desc_tabela; frete_peso; frete_valor; aliquota; vlr_icms; despacho; cat; itr; gris; coleta; tde; trt; canhoto; pedagio; outros_impostos; desconto; suframa; valor_local; valor_tas; reembolso; valor_frete; cfop; tipo_cobranca; fatura; valor_liquido; vlr_liquidado; data_liquidacao; data_credito_caixa; rel_comissao_exp; rel_comissao rec; rel_comissao_vend; pacote; sgl_unid_emit; nro_manifesto; cod_vendedor; nome_vendedor; tipo_documento; entrega_dificil; adic_frete; vlr_comissao_rec; vlr_comissao_exp; vlr_ibs_mun; vlr_ibs_est; vlr_cbs;
3;JOI;121785-2;001;120014;C;42260431541869000177570010001200141000336742�;PENDENTE;07/04/2026;11:18;3;083522;�;14/04/2026;RJO;RJOP;RIO DE JANEIRO;RJ;00008;000001;LTB3C34;;0,0000;0,0000;79,29;0,0000;79,29;2.615,70;CIF;PENDENTE;0;;TECELAGEM NORTE CATARINENSE;75.409.201/0001-46;250795302�;RUA DONA FRANCISCA,8351;89239270;JOINVILLE;SC;18/02/2026;DEJANIR DE SOUZA CORREIA ARAUJ;17.808.185/0001-68;ISENTO�;R AMARO RAN,33-SEM COMPLEMENTO;20970006;RIO DE JANEIRO;RJ;07/04/2026;TECELAGEM NORTE CATARINENSE;75.409.201/0001-46;JOI;';';;;20000001;RIO DE JANEIRO;RJ;082;07/04/2026;19:08;082;SAIDA DA UNIDADE;Saida da unidade JOINVILLE em 07/04/26, 19:08h. Previsao de chegada na unidade RIO DE JANEIRO em 08/04/26, 12:00h.;COMBINADA;63,08%;80,98;7,85;12,00;12,95;0,00;0,00;0,00;8,92;0,00;0,00;0,00;0,00;6,80;0,00;0,00;0,00;0,00;3,36;0,00;107,91;6353;BANCO;;107,91;0,00;;;0;0;0;  0000000;JOI;1327;4;ARIO DOS SANTOS               ;NORMAL;N;0,00;         0,00;         0,00;0,00;0,09;0,82;
3;JOI;121786-1;001;120015;C;42260431541869000177570010001200151000336758�;PENDENTE;07/04/2026;11:19;3;083557;�;17/04/2026;RJO;RJOI;RESENDE;RJ;00009;000001;LTB3C34;;0,0000;0,0000;61,57;0,0000;61,57;6.080,57;CIF;PENDENTE;0;;TECELAGEM NORTE CATARINENSE;75.409.201/0001-46;250795302�;RUA DONA FRANCISCA,8351;89239270;JOINVILLE;SC;18/02/2026;DALTON COMERCIO DE BOTOES LTDA;04.783.481/0002-90;78919817�;AV TENENTE ,368-LOJA A QUADRAB;27521130;RESENDE;RJ;07/04/2026;TECELAGEM NORTE CATARINENSE;75.409.201/0001-46;JOI;';';;;27500001;RESENDE;RJ;082;07/04/2026;19:08;082;SAIDA DA UNIDADE;Saida da unidade JOINVILLE em 07/04/26, 19:08h. Previsao de chegada na unidade RIO DE JANEIRO em 08/04/26, 12:00h.;COMBINADA;57,86%;98,59;18,24;12,00;16,70;0,00;0,00;0,00;12,16;0,00;0,00;0,00;0,00;6,80;0,00;0,00;0,00;0,00;3,36;0,00;139,15;6353;BANCO;;139,15;0,00;;;0;0;0;  0000000;JOI;1327;4;ARIO DOS SANTOS               ;NORMAL;N;0,00;         0,00;         0,00;0,00;0,12;1,06;
3;JOI;121787-9;001;120016;C;42260431541869000177570010001200161000336763�;PENDENTE;07/04/2026;11:20;1;027827;�;17/04/2026;RJO;RJOI;ITABORAI;RJ;00004;000001;LTB3C34;;0,0000;0,0000;25,19;0,0000;25,19;3.174,51;CIF;PENDENTE;0;;PENINSULA IMPORTACAO E EXPORTA;20.231.436/0001-07;258094834�;TENENTE ANTONIO ,4488-GALPAO 1;89223395;JOINVILLE;SC;22/10/2025;FOUR DISTRIBUIDORA LTDA;40.983.374/0001-99;12157665�;R LUIZ CAMARA,535-PARTE;21031175;RIO DE JANEIRO;RJ;30/06/2022;PENINSULA IMPORTACAO E EXPORTA;20.231.436/0001-07;JOI;COTACAO 4280';';V N RIBEIRO;AV. VINTE E DOIS DE MAIO , 445;24800001;ITABORAI;RJ;082;07/04/2026;19:08;082;SAIDA DA UNIDADE;Saida da unidade JOINVILLE em 07/04/26, 19:08h. Previsao de chegada na unidade RIO DE JANEIRO em 08/04/26, 12:00h.;INFORMADO;34,40%;0,00;145,08;12,00;17,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;145,08;6352;BANCO;;145,08;0,00;;;0;0;0;  0000000;JOI;1327;4;ARIO DOS SANTOS               ;NORMAL;N;0,00;         0,00;         0,00;0,00;0,12;1,11;
3;JOI;121788-7;001;120017;C;42260431541869000177570010001200171000336779�;PENDENTE;07/04/2026;11:20;1;027865;�;17/04/2026;RJO;RJOI;TANGUA;RJ;00001;000001;LTB3C34;;0,0000;0,0000;9,74;0,0000;9,74;1.326,29;CIF;PENDENTE;0;;PENINSULA IMPORTACAO E EXPORTA;20.231.436/0001-07;258094834�;TENENTE ANTONIO ,4488-GALPAO 1;89223395;JOINVILLE;SC;22/10/2025;THERCIO E THARCIO MATERIAIS DE;12.520.998/0001-34;79173304�;VEREADO,0-LOTE 23. 24. 25 E 26;24890000;TANGUA;RJ;03/10/2022;PENINSULA IMPORTACAO E EXPORTA;20.231.436/0001-07;JOI;';- COTACAO COM FRETE FIXADO';;;24890000;TANGUA;RJ;082;07/04/2026;19:08;082;SAIDA DA UNIDADE;Saida da unidade JOINVILLE em 07/04/26, 19:08h. Previsao de chegada na unidade RIO DE JANEIRO em 08/04/26, 12:00h.;COTACAO;49,27%;0,00;69,23;12,00;10,83;0,00;0,00;0,00;2,90;0,00;0,00;0,00;0,00;4,76;0,00;0,00;0,00;0,00;2,52;0,00;90,24;6352;BANCO;;90,24;0,00;;;0;0;0;  0000000;JOI;1327;4;ARIO DOS SANTOS               ;NORMAL;N;0,00;         0,00;         0,00;0,00;0,08;0,69;
3;JOI;121789-5;001;120018;C;42260431541869000177570010001200181000336784�;CANCELADO;07/04/2026;11:23;1;000415;�;24/04/2026;ESO;ESOP;CARIACICA;ES;00034;000001;LTB3C34;;0,0000;0,0000;90,00;0,0000;90,00;9.047,72;CIF;CANCELADO;0;;VAESO COMERCIAL LTDA;58.092.341/0001-14;263268144�;RUA BRUNO GERMANO PONICK,140;89223230;JOINVILLE;SC;25/03/2026;GFN DO LAR LTDA;22.425.536/0001-91;083103252�;AV MARIO GURGEL,5353-PAVMTOL2 LOJA 207 ABVWXYZ;29145910;CARIACICA;ES;27/03/2026;VAESO COMERCIAL LTDA;58.092.341/0001-14;JOI;';- COTACAO COM FRETE FIXADO';;;29140001;CARIACICA;ES;099;07/04/2026;13:44;099;CTRC BAIXADO OU CANCELADO;QUANTIDADE DE VOLUMES INCORRETA;COTACAO;-71,61%;668,30;22,81;07,00;51,58;35,98;0,00;0,00;9,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;736,86;6353;BANCO;;736,86;0,00;;;0;0;0;  0000000;;0;0;                              ;NORMAL;N;0,00;         0,00;         0,00;0,00;0,66;5,94;
3;JOI;121790-9;001;120019;C;42260431541869000177570010001200191000336790�;PENDENTE;07/04/2026;11:42;1;000434;�;14/04/2026;RJO;RJOP;RIO DE JANEIRO;RJ;00034;000001;LTB3C34;;0,0000;0,0000;90,00;0,0000;90,00;3.077,50;CIF;PENDENTE;0;;VAESO COMERCIAL LTDA;58.092.341/0001-14;263268144�;RUA BRUNO GERMANO PONICK,140;89223230;JOINVILLE;SC;25/03/2026;BAZAR E BOMBONIER J L SOARES L;32.148.173/0001-48;83604158�;RUA ROBERTO DA SILVEIRA PR,060;21044180;RIO DE JANEIRO;RJ;27/03/2026;VAESO COMERCIAL LTDA;58.092.341/0001-14;JOI;';- COTACAO COM FRETE FIXADO';;;20000001;RIO DE JANEIRO;RJ;082;07/04/2026;19:08;082;SAIDA DA UNIDADE;Saida da unidade JOINVILLE em 07/04/26, 19:08h. Previsao de chegada na unidade RIO DE JANEIRO em 08/04/26, 12:00h.;COTACAO;13,98%;202,95;7,39;12,00;30,48;39,97;0,00;0,00;3,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;254,00;6353;BANCO;;254,00;0,00;;;0;0;0;  0000000;JOI;1327;0;                              ;NORMAL;N;0,00;         0,00;         0,00;0,00;0,22;1,94;
3;JOI;121791-7;001;120020;C;42260431541869000177570010001200201000336804�;PENDENTE;07/04/2026;13:25;8;609028;�;13/04/2026;RJO;RJOP;RIO DE JANEIRO;RJ;00001;000001;LTB3C34;;0,0105;0,0000;9,70;0,0000;9,70;984,00;CIF;PENDENTE;0;;DOCOL INDUSTRIA E COMERCIO LTD;75.339.051/0001-41;250767805�;AV. EDMUNDO DOUBRAWA,1001;89219502;JOINVILLE;SC;22/11/2018;DIME DISTRIBUIDORA COMERCIO IM;04.286.673/0001-00;77141995�;AV SANTA CRUZ,10245;23010004;RIO DE JANEIRO;RJ;18/10/2019;DOCOL INDUSTRIA E COMERCIO LTD;75.339.051/0001-41;JOI;';';;;20000001;RIO DE JANEIRO;RJ;082;07/04/2026;19:08;082;SAIDA DA UNIDADE;Saida da unidade JOINVILLE em 07/04/26, 19:08h. Previsao de chegada na unidade RIO DE JANEIRO em 08/04/26, 12:00h.;COMBINADA;-47,48%;33,38;3,94;12,00;29,59;17,36;0,00;0,00;3,94;0,00;130,00;0,00;0,00;16,79;0,00;0,00;0,00;0,00;4,87;0,00;246,61;6353;CARTEIRA;;246,61;0,00;;;0;0;0;  0000000;JOI;1327;1;ALEXSANDRO OLIVEIRA FAGUNDES  ;NORMAL;S;0,00;         0,00;         0,00;0,00;0,21;1,88;
3;JOI;121792-5;001;120021;C;42260431541869000177570010001200211000336810�;PENDENTE;07/04/2026;13:25;8;608274;�;13/04/2026;RJO;RJOR;DUQUE DE CAXIAS;RJ;00004;000001;LTB3C34;;0,0891;0,0000;19,31;0,0000;26,73;3.761,08;CIF;PENDENTE;0;;DOCOL INDUSTRIA E COMERCIO LTD;75.339.051/0001-41;250767805�;AV. EDMUNDO DOUBRAWA,1001;89219502;JOINVILLE;SC;22/11/2018;NOVA LIDER COM MAT CONSTR LTDA;07.203.776/0001-58;78007567�;EST DAS CHACARAS,SN-QD 8 LT 29;25251730;DUQUE DE CAXIAS;RJ;27/05/2019;DOCOL INDUSTRIA E COMERCIO LTD;75.339.051/0001-41;JOI;';';;;25000001;DUQUE DE CAXIAS;RJ;082;07/04/2026;19:08;082;SAIDA DA UNIDADE;Saida da unidade JOINVILLE em 07/04/26, 19:08h. Previsao de chegada na unidade RIO DE JANEIRO em 08/04/26, 12:00h.;COMBINADA;-37,25%;50,09;15,04;12,00;34,98;17,36;0,00;0,00;7,89;0,00;130,00;0,00;0,00;16,79;0,00;0,00;0,00;0,00;4,87;0,00;291,47;6353;CARTEIRA;;291,47;0,00;;;0;0;0;  0000000;JOI;1327;1;ALEXSANDRO OLIVEIRA FAGUNDES  ;NORMAL;S;0,00;         0,00;         0,00;0,00;0,25;2,22;
3;JOI;121793-3;001;120022;C;42260431541869000177570010001200221000336825�;PENDENTE;07/04/2026;13:26;8;608129;�;13/04/2026;RJO;RJOP;RIO DE JANEIRO;RJ;00001;000001;LTB3C34;;0,0470;0,0000;9,16;0,0000;14,10;9.084,79;CIF;PENDENTE;0;;DOCOL INDUSTRIA E COMERCIO LTD;75.339.051/0001-41;250767805�;AV. EDMUNDO DOUBRAWA,1001;89219502;JOINVILLE;SC;22/11/2018;04.01 BOTTINO MATERIAIS CONSTR;05.879.152/0007-15;79836680�;ESTR DO PONTAL,843;22790877;RIO DE JANEIRO;RJ;08/02/2019;DOCOL INDUSTRIA E COMERCIO LTD;75.339.051/0001-41;JOI;';';;;20000001;RIO DE JANEIRO;RJ;082;07/04/2026;19:08;082;SAIDA DA UNIDADE;Saida da unidade JOINVILLE em 07/04/26, 19:08h. Previsao de chegada na unidade RIO DE JANEIRO em 08/04/26, 12:00h.;COMBINADA;-34,05%;43,89;36,34;12,00;40,30;17,36;0,00;0,00;19,06;0,00;130,00;0,00;0,00;16,79;0,00;0,00;0,00;0,00;4,87;0,00;335,86;6353;CARTEIRA;;335,86;0,00;;;0;0;0;  0000000;JOI;1327;1;ALEXSANDRO OLIVEIRA FAGUNDES  ;NORMAL;S;0,00;         0,00;         0,00;0,00;0,28;2,56;
3;JOI;121794-1;001;120023;C;42260431541869000177570010001200231000336830�;PENDENTE;07/04/2026;13:26;8;607071;�;13/04/2026;RJO;RJOR;SAO GONCALO;RJ;00001;000001;LTB3C34;;0,0678;0,0000;5,31;0,0000;20,34;6.856,76;CIF;PENDENTE;0;;DOCOL INDUSTRIA E COMERCIO LTD;75.339.051/0001-41;250767805�;AV. EDMUNDO DOUBRAWA,1001;89219502;JOINVILLE;SC;22/11/2018;KIAN IMPORTACAO LTDA;02.890.979/0001-46;75936532�;ESTRADA DA TRINDADE,2573;24474005;SAO GONCALO;RJ;18/10/2019;DOCOL INDUSTRIA E COMERCIO LTD;75.339.051/0001-41;JOI;';';;;24400001;SAO GONCALO;RJ;082;07/04/2026;19:08;082;SAIDA DA UNIDADE;Saida da unidade JOINVILLE em 07/04/26, 19:08h. Previsao de chegada na unidade RIO DE JANEIRO em 08/04/26, 12:00h.;COMBINADA;-33,89%;50,09;27,43;12,00;38,60;17,36;0,00;0,00;14,39;0,00;130,00;0,00;0,00;16,79;0,00;0,00;0,00;0,00;4,87;0,00;321,63;6353;CARTEIRA;;321,63;0,00;;;0;0;0;  0000000;JOI;1327;1;ALEXSANDRO OLIVEIRA FAGUNDES  ;NORMAL;S;0,00;         0,00;         0,00;0,00;0,27;2,45;
