0;INEA E PCT TRANSPORTES EIRELI;CTRCS EMITIDOS MENSAL;08/04/2026;02:24
1;CODIGO;DESCRICAO;TIPO;PROCESSO;PAGA COMISSAO RECEPCAO;PAGA AGREGADO ENTREGA;COBRAR REENTREGA;COBRAR ESTADIA;INFORMA CLIENTE;RESPONSABILIDADE UNIDADE ORIGEM;RESPONSABILIDADE UNIDADE ANTERIOR;CODIGO SSW;DESCRICAO SSW;
2; 01; CTRC ENTREGUE ; ENTREGA ; ENTREGA ; X; X; -; -; X; -; -; 01; MERCADORIA ENTREGUE ;
2; 02; ENTREGA INFORMADA VIA RADIO/CELULAR ; PRE-ENTREGA; ENTREGA ; -; -; -; -; X; -; -; 02; MERCADORIA PRE-ENTRE;
2; 03; CTRC DEVOLVIDO ; ENTREGA ; DEVOLUCAO ; X; X; -; -; -; -; -; 03; MERCADORIA DEVOLVIDA;
2; 04; DESTINATARIO RETIRA ; CLIENTE ; ENTREGA ; -; -; -; -; X; -; -; 04; DESTINATARIO IRAH RE;
2; 05; MERCADORIA DESACORDO COM PEDIDO/NAO PEDI; CLIENTE ; ENTREGA ; -; X; -; -; X; X; -; 05; CLIENTE ALEGA MERCAD;
2; 06; VEICULO COM PROBLEMAS MECANICOS ; PENDENCIA ; ; -; -; -; -; -; -; -; 00; ;
2; 07; ENDERECO ENTREGA DIFERENTE NF ; INFORMATIVO; ENTREGA ; -; -; -; -; -; -; -; 07; CHEGADA NO CLIENTE D;
2; 08; FERIADO LOCAL ; INFORMATIVO; REENTREGA ; -; -; -; -; X; -; -; 00; ;
2; 09; DESTINATARIO NAO LOCALIZADO ; CLIENTE ; ENTREGA ; -; -; -; -; X; X; -; 09; DESTINATARIO DESCONH;
2; 10; ENDERECO NAO LOCALIZADO ; CLIENTE ; ENTREGA ; -; -; -; -; -; X; -; 10; LOCAL DE ENTREGA NAO;
2; 11; DESTINATARIO AUSENTE OU FECHADO ; CLIENTE ; ENTREGA ; -; X; X; -; X; X; -; 00; ;
2; 12; ATRASO PARCEIRO ; PENDENCIA ; ENTREGA ; -; -; -; -; -; -; -; 00; ;
2; 13; ENTREGA PREJUDICADA PELO HORARIO OU TRAN; PENDENCIA ; ENTREGA ; -; X; -; -; -; -; -; 13; ENTREGA PREJUDICADA ;
2; 14; NOTA FISCAL ENTREGUE ; CLIENTE ; ENTREGA ; -; -; -; -; X; X; -; 14; ENTREGA PARCIAL DE U;
2; 15; ENTREGA AGENDADA PELO CLIENTE ; INFORMATIVO; AGENDAMENTO ; -; -; -; -; X; -; -; 15; ENTREGA AGENDADA ;
2; 16; MERCAD RETIDA ATEH SEGUNDA ORDEM ; CLIENTE ; ENTREGA ; -; -; -; -; -; -; X; 16; ENTREGA AGUARDANDO I;
2; 17; MERCADORIA ENTREGUE NO PARCEIRO ; INFORMATIVO; ENTREGA ; -; -; -; -; -; -; -; 00; ;
2; 18; MERCADORIA ENTREGUE NO REDESPACHO ; ENTREGA ; ENTREGA ; X; X; -; -; X; -; -; 18; MERCAD REPASSADA P/ ;
2; 19; AGENDAMENTO PERDIDO ; PENDENCIA ; AGENDAMENTO ; -; -; -; -; -; -; -; 00; ;
2; 20; CLIENTE ALEGA FALTA DE MERCADORIA ; PENDENCIA ; ENTREGA ; -; -; -; -; X; -; X; 00; ;
2; 21; ENTREGA AGENDADA FORA DO PRAZO ; CLIENTE ; ; -; -; -; -; -; -; -; 00; ;
2; 22; CLIENTE FECHADO ; CLIENTE ; ENTREGA ; -; -; -; -; -; -; -; 11; LOCAL DE ENTREGA FEC;
2; 23; CLIENTE ALEGA MERCADORIA AVARIADA ; PENDENCIA ; ENTREGA ; -; -; -; -; X; -; X; 23; CLIENTE ALEGA MERCAD;
2; 24; BAIXA INDEVIDA JJSUL ; INFORMATIVO; ENTREGA ; -; -; -; -; -; -; -; 00; ;
2; 25; DEVOLUCAO PARADA RJ ; PENDENCIA ; ENTREGA ; -; -; -; -; -; -; -; 00; ;
2; 26; AGUARDANDO AUTORIZACAO P/ DEVOLUCAO ; CLIENTE ; DEVOLUCAO ; -; -; -; -; -; X; -; 00; ;
2; 27; DEVOLUCAO AUTORIZADA ; INFORMATIVO; DEVOLUCAO ; -; -; -; -; -; -; -; 27; DEVOLUCAO AUTORIZADA;
2; 28; DEVOLUCAO PARADA MTD ; PENDENCIA ; ENTREGA ; -; -; -; -; -; -; -; 00; ;
2; 29; PARADA MTD ; PENDENCIA ; ENTREGA ; -; -; -; -; -; -; -; 00; ;
