0;INEA E PCT TRANSPORTES EIRELI;CTRCS EMITIDOS MENSAL;08/04/2026;02:24
1;SIGLA;TIPO UNIDADE;NOME FANTASIA;ENDERECO REAL;NUMERO;COMPLEMENTO;BAIRRO;CEP;CIDADE;UF;DDD;TELEFONE;NOME SEGURADORA;CNPJ SEGURADORA;NUMERO APOLICE SEGURO;RAZAO SOCIAL DA FILIAL;CNPJ DA FILIAL;RNTRC;INSCRICAO ESTADUAL;ENDERECO FISCAL;NUMERO;BAIRRO;CEP;DDD;TELEFONE;
2;JPA;AGENCIA;PREFEITURA MUNICIPAL JPA;RUA EMPRESARIO VALDEMAR PEREIR;A DO EGITO;SN;DISTRITO INDUSTRIAL MANGABEIRA;58000000;JOAO PESSOA;PB;61;33470277;ALLIANZ;00000000000000;849156;HDLOGSUL - INEA & PCT TRANSPORTES EIRELLI;31541869000177;051402766;ISENTO;ROD BR 101 KM 47;0;;89213215;47;34661699;
2;SPO;TERCEIRO;HDLOGSUL - HDLOG SP;RUA BELA VISTA DO  PARAISO;1786;GALPAO 7;JARDIM NOVO PORTUGAL;7171000;GUARULHOS;SP;47;34661699;ALLIANZ;61573796000166;51772017315400001071;HDLOGSUL - INEA & PCT TRANSPORTES EIRELLI;31541869000177;051402766;ISENTO;RODOVIA BR 101 KM 47 S/N ;0;NOVA BRASILIA;89213205;47;34638263;
2;JGA;TERCEIRO;HDLOGSUL - JJ SUL;RUA ANITA GARIBALDI;100;;CENTRO;89251130;JARAGUA DO SUL;SC;47;32000000;ALLIANZ;00000000000000;849159;HDLOGSUL - INEA & PCT TRANSPORTES EIRELLI;31541869000177;051402766;ISENTO;RODOVIA BR 101 KM 47 S/N;0;NOVA BRASILIA;89213205;47;34638263;
2;ESO;FILIAL;HDLOG ES;RUA SEBASTIAO JOSE DE ALMEIDA`;200;;JARDIM LIMOEIRO;29164053;SERRA;ES;47;34661699;6;61573796000166;5177201731540001071;HDLOGSUL - INEA & PCT TRANSPORTES EIRELLI;31541869000177;051402766;ISENTO;RODOVIA BR 101 KM 47 S/N;0;NOVA BRASILIA;89213205;47;34638263;
2;FRT;FROTA;FROTA;Rod BR 101 KM 47 ;;;;89213215;JOINVILLE;SC;47;34638263;;;;INEA & PCT TRANSPORTES EIRELI;31541869000177;;ISENTO;ROD BR 101 KM 47;0;NOVA BRASILIA;89213215;47;34638263;
2;FEC;FECHADA;FECHADA;Rod BR 101 KM 47 ;;;;89213215;JOINVILLE;SC;47;34638263;;;;INEA & PCT TRANSPORTES EIRELI;31541869000177;;ISENTO;ROD BR 101 KM 47;0;NOVA BRASILIA;89213215;47;34638263;
2;RJO;FILIAL;HDLOGSUL RJ;RUA PADRE GUILHERME DECAMINADA;1950;;SANTA CRUZ;23575000;RIO DE JANEIRO;RJ;47;34661699;MAPFRE;61074175000138;22000993;HDLOGSUL - INEA & PCT TRANSPORTES;31541869000258;051402766;11649165;RODOVIA BR 101 KM 47 S/N;0;NOVA BRASILIA;89213205;47;34638263;
2;HDL;TERCEIRO;HDL;AVENIDA PADRE GUILHERME DECAMI;1950;;SANTA CRUZ;23575000;RIO DE JANEIRO;RJ;00;;MAPFRE SEGUROS;61074175000138;0000171;HDL;11040609000100;047190358;123455678;AVENIDA PADRE GUILHERME DECA;1950;SANTA CRUZ;23575000;21;33057650;
2;MTZ;MATRIZ;HDLOGSUL;ROD BR 101 KM 47;0;GALPAO A;NOVA BRASILIA;89213215;JOINVILLE;SC;47;34661699;X;00000000000000;087372019010654000176;HDLOGSUL - INEA E PCT TRANSPORTES EIRELI;31541869000177;051402766;258942517;RODOVIA BR 101 KM 47;0;NOVA BRASILIA;89213215;47;34638263;
2;JOI;FILIAL;HDLOG SUL;RODOVIA BR 101;KM 47;S/N;NOVA BRASILIA;89213205;JOINVILLE;SC;47;34661699;MAPFRE SEGUROS;61074175000138;22000993;HDLOGSUL - INEA E PCT TRANSPORTES EIRELI;31541869000177;051402766;258942517;RODOVIA BR 101 KM 47;0;NOVA BRASILIA;89213215;47;34638263;
