0;INEA E PCT TRANSPORTES EIRELI;RELACAO DE GRUPO DE CLIENTES - EXCEL;08/04/2026;02:28
1;CNPJ PRINCIPAL;NOME CLIENTE PRINCIPAL;NOME DO GRUPO;CNPJ CLIENTE;NOME CLIENTE;ENDERECO;CEP;FONE;CIDADE;UF;FIL;ULTMOVIM;INSCRICAO ESTADUAL
2;13890656000179�;CLAW COML IMPORTADORA E EXPORT;CLAW COML IMPORTADORA E EXPORT;59356366000140�;RISEON LTDA;RUA LENO NICOLUZZI;89254620;(47)33760000;JARAGUA DO SUL;SC;JOI;23/02/26;263409490
2;13890656000179�;CLAW COML IMPORTADORA E EXPORT;CLAW COML IMPORTADORA E EXPORT;13890656000179�;CLAW COML IMPORTADORA E EXPORT;RUA LENO NICOLUZZI;89254620;(47)32730101;JARAGUA DO SUL;SC;JOI;07/04/26;256449201
2;13890656000179�;CLAW COML IMPORTADORA E EXPORT;CLAW COML IMPORTADORA E EXPORT;42002082000153�;CASA DI MATTEO LTDA;R LENO NICOLUZZI;89254620;(47)32730101;JARAGUA DO SUL;SC;JOI;06/04/26;261085158
2;75339051000141�;DOCOL INDUSTRIA E COMERCIO LTD;DOCOL INDUSTRIA E COMERCIO LTDA;75339051001385�;DOCOL INDUSTRIA E COMERCIO LTDA;RUA EIXO INDUSTRIAL HELLMUTH MIERS;89219512;(47)35126072;JOINVILLE;SC;JOI;07/04/26;261471090
2;75339051000141�;DOCOL INDUSTRIA E COMERCIO LTD;DOCOL INDUSTRIA E COMERCIO LTDA;75339051000141�;DOCOL INDUSTRIA E COMERCIO LTD;AV. EDMUNDO DOUBRAWA;89219502;(47)34511343;JOINVILLE;SC;JOI;07/04/26;250767805
2;75339051000141�;DOCOL INDUSTRIA E COMERCIO LTD;DOCOL INDUSTRIA E COMERCIO LTDA;41396899000190�;DOCOL INOX LTDA;HELLMUTH MIERS, 800 BR101;89219512;(47)34310500;JOINVILLE;SC;JOI;02/02/22;261273523
2;23635798000143�;SCHULZ COMPRESSORES SA;SCHULZ COMPRESSORES SA;23635798000496�;SCHULZ COMPRESSORES LTDA;RUA DONA FRANCISCA;89219600;(47)34516000;JOINVILLE;SC;JOI;06/01/26;261418947
2;23635798000143�;SCHULZ COMPRESSORES SA;SCHULZ COMPRESSORES SA;23635798000143�;SCHULZ COMPRESSORES SA;RUA DONA FRANCISCA;89219600;(47)34516412;JOINVILLE;SC;JOI;11/03/26;257814116
2;23635798000143�;SCHULZ COMPRESSORES SA;SCHULZ COMPRESSORES SA;23635798000305�;SCHULZ COMPRESSORES LTDA;RUA: BLUMENAU;89204413;(47)33056611;JOINVILLE;SC;JOI;18/12/25;260580767
2;12554478000142�;UNIFORTTE INDUSTRIA DE PLASTIC;UNIFORTTE INDUSTRIA DE PLASTIC;12554478000223�;UNIFORTTE INDUSTRIA DE PLASTICOS LTDA.;RUA FRANCISCO DE ASSIS MANHONI;29313145;(47)34320707;CACHOEIRO DE ITAPEMIRIM;ES;ESO;12/05/25;084136367
2;12554478000142�;UNIFORTTE INDUSTRIA DE PLASTIC;UNIFORTTE INDUSTRIA DE PLASTIC;12554478000142�;UNIFORTTE INDUSTRIA DE PLASTIC;RUA ANTONIO JASPER;89245000;(47)34320707;ARAQUARI;SC;JOI;07/04/26;256204993
2;12554478000142�;UNIFORTTE INDUSTRIA DE PLASTIC;UNIFORTTE INDUSTRIA DE PLASTIC;36340153000125�;UNF INDUSTRIA DE PLASTICOS LTD;RUA ANTONIO JASPER;89245000;(47)34320707;ARAQUARI;SC;JOI;21/07/25;260409057
2;00192861000119�;HIDRO FILTROS DO BRASIL IND.E;HIDRO FILTROS DO BRASIL IND.E;00192861000461�;HIDRO FILTROS DO BRASIL IND. E;AVENIDA SETECENTOS;29161414;(47)30032003;SERRA;ES;ESO;        ;083992677
2;00192861000119�;HIDRO FILTROS DO BRASIL IND.E;HIDRO FILTROS DO BRASIL IND.E;00192861000119�;HIDRO FILTROS DO BRASIL IND.E;RUA: QUINZE DE OUTUBRO;89239700;(47)30032003;JOINVILLE;SC;JOI;07/04/26;260096253
